time,status,value
2025-05-27 03:07:05,200,11.0
2025-05-27 03:07:35,200,11.0
2025-05-27 03:08:05,200,11.0
2025-05-27 03:08:35,200,11.0
2025-05-27 03:09:05,200,11.0
2025-05-27 03:09:35,200,11.0
2025-05-27 03:10:05,200,11.0
2025-05-27 03:10:35,200,11.0
2025-05-27 03:11:05,200,11.0
2025-05-27 03:11:35,200,11.0
2025-05-27 03:12:05,200,11.0
2025-05-27 03:12:35,200,11.0
2025-05-27 03:13:05,200,11.0
2025-05-27 03:13:35,200,11.0
2025-05-27 03:14:05,200,11.0
2025-05-27 03:14:35,200,11.0
2025-05-27 03:15:05,200,11.0
2025-05-27 03:15:35,200,11.0
2025-05-27 03:16:05,200,11.0
2025-05-27 03:16:35,200,11.0
2025-05-27 03:17:05,200,34.0
2025-05-27 03:17:35,200,48.0
2025-05-27 03:18:05,200,48.0
2025-05-27 03:18:35,200,48.0
2025-05-27 03:19:05,200,48.0
2025-05-27 03:19:35,200,48.0
2025-05-27 03:20:05,200,48.0
2025-05-27 03:20:35,200,48.0
2025-05-27 03:21:05,200,48.0
2025-05-27 03:21:35,200,48.0
2025-05-27 03:22:05,200,48.0
2025-05-27 03:22:35,200,51.0
2025-05-27 03:23:05,200,51.0
2025-05-27 03:23:35,200,51.0
2025-05-27 03:24:05,200,51.0
2025-05-27 03:24:35,200,51.0
2025-05-27 03:25:05,200,51.0
2025-05-27 03:25:35,200,51.0
2025-05-27 03:26:05,200,51.0
2025-05-27 03:26:35,200,51.0
2025-05-27 03:27:05,200,52.0
2025-05-27 03:27:35,200,99.0
2025-05-27 03:28:05,200,99.0
2025-05-27 03:28:35,200,99.0
2025-05-27 03:29:05,200,99.0
2025-05-27 03:29:35,200,99.0
2025-05-27 03:30:05,200,99.0
2025-05-27 03:30:35,200,99.0
2025-05-27 03:31:05,200,99.0
2025-05-27 03:31:35,200,99.0
2025-05-27 03:32:05,200,99.0
2025-05-27 03:32:35,200,99.0
2025-05-27 03:33:05,200,99.0
2025-05-27 03:33:35,200,99.0
2025-05-27 03:34:05,200,99.0
2025-05-27 03:34:35,200,99.0
2025-05-27 03:35:05,200,99.0
2025-05-27 03:35:35,200,99.0
2025-05-27 03:36:05,200,99.0
2025-05-27 03:36:35,200,99.0
2025-05-27 03:37:05,200,99.0
2025-05-27 03:37:35,200,128.0
2025-05-27 03:38:05,200,128.0
2025-05-27 03:38:35,200,128.0
2025-05-27 03:39:05,200,128.0
2025-05-27 03:39:35,200,128.0
2025-05-27 03:40:05,200,128.0
2025-05-27 03:40:35,200,128.0
2025-05-27 03:41:05,200,128.0
2025-05-27 03:41:35,200,128.0
2025-05-27 03:42:05,200,128.0
2025-05-27 03:42:35,200,128.0
